State;Year;Real GDP (1997 chained millions)
Louisiana;1982;97625,6
Maine;1982;19610,3
Maryland;1982;94470,2
Massachusetts;1982;134242,9
Michigan;1982;178645,3
Mideast;1982;1020670
Minnesota;1982;88444,4
Mississippi;1982;36090,4
Missouri;1982;95531,6
Montana;1982;14915,5
Nebraska;1982;32135,2
Nevada;1982;22993,9
New England;1982;280768
New Hampshire;1982;17246,2
New Jersey;1982;169773,4
New Mexico;1982;24539,6
New York;1982;473334,7
North Carolina;1982;111614,5
North Dakota;1982;13545
Ohio;1982;203225,7
Oklahoma;1982;67172,6
Oregon;1982;49175,8
Pennsylvania;1982;223811,2
Plains;1982;346904,3
Rhode Island;1982;18553,1
Rocky Mountain;1982;147221,6
South Carolina;1982;49456,5
South Dakota;1982;11849,1
Southeast;1982;997979
Southwest;1982;510378,2
Tennessee;1982;80817,3
Texas;1982;362556,2
Utah;1982;27956
Vermont;1982;8777,3
Virginia;1982;119713,6
Washington;1982;103652,3
West Virginia;1982;28069,3
Wisconsin;1982;89641
Wyoming;1982;13123,8
Alabama;1983;67305
Alaska;1983;25822,1
Arizona;1983;58949,6
Arkansas;1983;36179
California;1983;641584,7
Colorado;1983;75946,6
Connecticut;1983;86662,9
Delaware;1983;17959,2
District of Columbia;1983;43964,7
Far West;1983;874726,6
Florida;1983;212494,5
Georgia;1983;116030,2
Great Lakes;1983;849427,9
Hawaii;1983;27931,8
Idaho;1983;16596,8
Illinois;1983;255785,5
Indiana;1983;100128,9
Iowa;1983;52043,1
Kansas;1983;50955,8
Kentucky;1983;62542
Louisiana;1983;96515
Maine;1983;20470,5
Maryland;1983;99051,5
Massachusetts;1983;142103,2
Michigan;1983;190878,5
Mideast;1983;1055252
Minnesota;1983;91405,2
Mississippi;1983;36857,4
Missouri;1983;98610,9
Montana;1983;14931,6
Nebraska;1983;31359,5
Nevada;1983;23737,9
New England;1983;295605,2
New Hampshire;1983;18344
New Jersey;1983;181669,2
New Mexico;1983;24950,5
New York;1983;483339,8
North Carolina;1983;117269,3
North Dakota;1983;13282,1
Ohio;1983;211441,5
Oklahoma;1983;63976
Oregon;1983;49722,4
Pennsylvania;1983;229967,5
Plains;1983;349664
Rhode Island;1983;19086,1
Rocky Mountain;1983;148939,3
South Carolina;1983;52632,3
South Dakota;1983;11777,7
Southeast;1983;1037194
Southwest;1983;509902,1
Tennessee;1983;85226,1
Texas;1983;362005,1
Utah;1983;28916,8
Vermont;1983;9129,6
Virginia;1983;125222,8
Washington;1983;105338,9
West Virginia;1983;27318,9
Wisconsin;1983;91390,2
Wyoming;1983;12430,6
Alabama;1984;70481,4
Alaska;1984;26853,7
Arizona;1984;65288,2
Arkansas;1984;39015,1
California;1984;693094,9
Colorado;1984;80299,3
Connecticut;1984;94619
Delaware;1984;19290,3
District of Columbia;1984;44879,6
Far West;1984;936298
Florida;1984;230406,9
Georgia;1984;127322,6
Great Lakes;1984;916371,5
Hawaii;1984;28978,8
