state;year;UG;Gender_M
ID;1996;-0.12;0.5
ID;2000;-0.08;0.5
ID;2004;-0.04;0.5
ID;2008;0.28;0.5
ID;2012;-0.18;0.5
ID;2016;-0.38;0.5
IL;1980;0.28;
IL;1984;0.06;
IL;1988;-0.26;
IL;1992;0.32;0.48
IL;1996;-0.28;0.48
IL;2000;-0.1;0.48
IL;2004;0.17;0.48
IL;2008;0.11;0.49
IL;2012;-0.12;0.49
IL;2016;-0.36;0.49
IN;1980;0.5;
IN;1984;-0.13;
IN;1988;-0.33;
IN;1992;0.35;0.48
IN;1996;-0.24;0.48
IN;2000;-0.11;0.48
IN;2004;0.29;0.49
IN;2008;0.07;0.49
IN;2012;-0.19;0.49
IN;2016;-0.43;0.49
KS;1980;-0.31;
KS;1984;0.14;
KS;1988;-0.12;
KS;1992;0.07;0.48
KS;1996;-0.14;0.49
KS;2000;-0.05;0.49
KS;2004;0.31;0.49
KS;2008;-0.08;0.49
KS;2012;-0.17;0.49
KS;2016;-0.25;0.49
KY;1980;0.25;
KY;1984;0.08;
KY;1988;-0.17;
KY;1992;0.08;0.48
KY;1996;-0.11;0.48
KY;2000;-0.21;0.48
KY;2004;0.04;0.49
KY;2008;0.08;0.49
KY;2012;-0.2;0.49
KY;2016;-0.36;0.49
LA;1980;0.08;
LA;1984;0.2;
LA;1988;-0.07;
LA;1992;0;0.47
LA;1996;-0.13;0.47
LA;2000;-0.12;0.48
LA;2004;0.04;0.48
LA;2008;-0.32;0.48
LA;2012;0.04;0.48
LA;2016;-0.09;0.48
MA;1980;-0.13;
MA;1984;-0.26;
MA;1988;-0.18;
MA;1992;1.02;0.47
MA;1996;-0.37;0.47
MA;2000;-0.31;0.47
MA;2004;0.38;0.48
MA;2008;0.15;0.48
MA;2012;-0.17;0.48
MA;2016;-0.42;0.48
MD;1980;0.03;
MD;1984;-0.26;
MD;1988;-0.07;
MD;1992;0.79;0.48
MD;1996;-0.19;0.48
MD;2000;-0.28;0.48
MD;2004;0.08;0.48
MD;2008;0.02;0.48
MD;2012;0;0.48
MD;2016;-0.32;0.48
ME;1980;0.19;
ME;1984;-0.16;
ME;1988;-0.35;
ME;1992;0.83;0.48
ME;1996;-0.29;0.48
ME;2000;-0.33;0.48
ME;2004;0.21;0.48
ME;2008;0.12;0.48
ME;2012;-0.07;0.48
ME;2016;-0.42;0.49
MI;1980;0.92;
MI;1984;-0.1;
MI;1988;-0.25;
MI;1992;0.27;0.48
MI;1996;-0.32;0.48
MI;2000;-0.16;0.48
MI;2004;0.35;0.49
MI;2008;0.18;0.49
MI;2012;-0.34;0.49
MI;2016;-0.43;0.49
MN;1980;-0.09;
MN;1984;0.09;
MN;1988;-0.28;
MN;1992;0.19;0.49
MN;1996;-0.2;0.49
MN;2000;-0.03;0.49
MN;2004;0.24;0.49
MN;2008;0.32;0.49
MN;2012;-0.28;0.49
MN;2016;-0.22;0.49
MO;1980;0.13;
MO;1984;-0.05;
MO;1988;-0.12;
MO;1992;0.13;0.47
MO;1996;-0.23;0.48
MO;2000;-0.16;0.48
MO;2004;0.28;0.48
MO;2008;0.13;0.48
MO;2012;-0.26;0.48
MO;2016;-0.31;0.49
MS;1980;0.16;
MS;1984;0.24;
MS;1988;-0.19;
MS;1992;0.04;0.47
MS;1996;-0.09;0.47
MS;2000;-0.05;0.48
MS;2004;0.13;0.48
MS;2008;-0.12;0.48
MS;2012;-0.05;0.48
MS;2016;-0.32;0.48
MT;1980;-0.05;
MT;1984;0.12;
MT;1988;-0.14;
MT;1992;0.16;0.49
MT;1996;-0.12;0.49
MT;2000;-0.06;0.49
MT;2004;0.07;0.5
MT;2008;0.16;0.5
MT;2012;-0.12;0.5
MT;2016;-0.24;0.5
NC;1980;0;
NC;1984;0.03;
NC;1988;-0.36;
NC;1992;0.71;0.48
NC;1996;-0.14;0.48
NC;2000;0;0.48
NC;2004;0;0.48
NC;2008;0.17;0.48
NC;2012;-0.12;0.48
NC;2016;-0.36;0.48
ND;1980;-0.23;
ND;1984;0.1;
ND;1988;-0.18;
ND;1992;0.09;0.49
ND;1996;-0.33;0.5
ND;2000;0.11;0.5
ND;2004;0.17;0.5
ND;2008;-0.06;0.5
ND;2012;-0.24;0.51
ND;2016;0.07;0.51
NE;1980;-0.39;
NE;1984;0.07;
NE;1988;-0.31;
NE;1992;0;0.48
NE;1996;-0.04;0.48
NE;2000;0.12;0.49
NE;2004;0.26;0.49
NE;2008;-0.13;0.49
NE;2012;-0.13;0.49
NE;2016;-0.18;0.5
NH;1980;-0.3;
NH;1984;-0.17;
NH;1988;-0.35;
NH;1992;1.09;0.48
NH;1996;-0.38;0.48
NH;2000;-0.18;0.49
NH;2004;0.12;0.49
NH;2008;0.08;0.49
NH;2012;-0.11;0.49
NH;2016;-0.43;0.49
NJ;1980;0.13;
NJ;1984;-0.16;
NJ;1988;-0.32;
NJ;1992;1.05;0.48
NJ;1996;-0.2;0.48
NJ;2000;-0.3;0.48
NJ;2004;0.12;0.48
NJ;2008;0.18;0.48
NJ;2012;0.02;0.48
NJ;2016;-0.39;0.48
NM;1980;0.19;
NM;1984;0.07;
NM;1988;-0.1;
NM;1992;0.07;0.49
NM;1996;0.03;0.49
NM;2000;-0.22;0.49
NM;2004;0.12;0.49
NM;2008;-0.12;0.49
NM;2012;-0.05;0.49
NM;2016;-0.04;0.49
NV;1980;-0.03;
NV;1984;0.1;
NV;1988;-0.32;
NV;1992;0.43;0.51
NV;1996;-0.26;0.51
NV;2000;-0.05;0.51
NV;2004;-0.17;0.51
NV;2008;0.63;0.5
NV;2012;-0.01;0.5
NV;2016;-0.41;0.5
NY;1980;0.17;
NY;1984;-0.05;
NY;1988;-0.35;
NY;1992;0.72;0.47
NY;1996;-0.22;0.47
NY;2000;-0.3;0.47
NY;2004;0.21;0.48
NY;2008;0.08;0.48
NY;2012;0.02;0.48
NY;2016;-0.36;0.48
OH;1980;0.31;
OH;1984;0.01;
OH;1988;-0.33;
OH;1992;0.35;0.47
OH;1996;-0.24;0.48
OH;2000;-0.13;0.48
OH;2004;0.47;0.48
OH;2008;0.08;0.48
OH;2012;-0.28;0.48
OH;2016;-0.33;0.49
OK;1980;-0.31;
OK;1984;0.97;
OK;1988;-0.11;
OK;1992;0.07;0.48
OK;1996;-0.31;0.48
OK;2000;-0.27;0.49
OK;2004;0.32;0.49
OK;2008;-0.18;0.49
OK;2012;-0.19;0.49
OK;2016;-0.09;0.49
OR;1980;0.33;
OR;1984;-0.04;
OR;1988;-0.34;
OR;1992;0.37;0.49
OR;1996;-0.19;0.49
OR;2000;-0.11;0.49
OR;2004;0.14;0.49
OR;2008;0.05;0.49
OR;2012;-0.22;0.49
OR;2016;-0.39;0.49
PA;1980;0.25;
PA;1984;0.08;
PA;1988;-0.38;
PA;1992;0.62;0.47
PA;1996;-0.23;0.47
PA;2000;-0.2;0.48
PA;2004;0.13;0.48
PA;2008;0.06;0.48
PA;2012;-0.03;0.48
PA;2016;-0.27;0.49
RI;1980;0.13;
RI;1984;-0.29;
RI;1988;-0.33;
RI;1992;1.17;0.47
RI;1996;-0.3;0.47
RI;2000;-0.2;0.47
RI;2004;0.13;0.48
RI;2008;0.56;0.48
RI;2012;-0.05;0.48
RI;2016;-0.44;0.48
SC;1980;0.05;
SC;1984;-0.15;
SC;1988;-0.32;
SC;1992;0.46;0.48
SC;1996;-0.21;0.48
SC;2000;-0.17;0.48
SC;2004;0.31;0.48
SC;2008;0.01;0.48
SC;2012;-0.18;0.48
SC;2016;-0.34;0.48
SD;1980;-0.25;
SD;1984;-0.12;
SD;1988;-0.15;
SD;1992;-0.18;0.49
SD;1996;-0.06;0.49
SD;2000;-0.14;0.49
SD;2004;0.19;0.49
SD;2008;-0.18;0.5
SD;2012;-0.12;0.5
SD;2016;-0.21;0.5
TN;1980;0.16;
TN;1984;-0.06;
TN;1988;-0.27;
TN;1992;0.27;0.47
TN;1996;-0.1;0.48
TN;2000;-0.26;0.48
TN;2004;0.15;0.48
TN;2008;0.18;0.48
TN;2012;-0.26;0.48
TN;2016;-0.4;0.48
TX;1980;-0.2;
TX;1984;0.15;
TX;1988;0.04;
TX;1992;0.13;0.49
TX;1996;-0.21;0.49
TX;2000;-0.19;0.49
TX;2004;0.18;0.49
TX;2008;-0.11;0.49
TX;2012;-0.12;0.49
TX;2016;-0.27;0.49
